Timestamp,Channel1,Channel2,Channel3,Action
0.279,673.3689824782589,1163.3217517521086,681.3941748612135,Rest
0.282,675.0976312276878,1163.3731214252855,686.7856272203478,Rest
0.285,675.9770013066532,1163.5480586943695,703.4974501725972,Rest
0.288,675.0348687213503,1163.3101264608058,698.4428606561256,Rest
0.291,672.2414233972339,1163.3611796332812,689.4056498295844,Rest
0.294,672.6971373197003,1163.386775062892,686.8351950448983,Rest
0.297,673.430498055279,1163.3481309828917,700.9902830112318,Rest
0.3,671.8602880072937,1163.3095858466131,702.105280411873,Rest
0.303,670.6310183562063,1163.1879488453803,716.527795377707,Rest
0.306,668.1830123881116,1163.315462269242,711.4419956734175,Rest
0.31,666.7304303324736,1163.3850918275227,703.2503859103186,Rest
0.313,665.4535294119751,1163.4047214275267,688.3821300723707,Rest
0.316,666.9875177130124,1163.3812294460809,688.9407740760772,Rest
0.319,674.327869335159,1163.3790216897753,697.2918501248181,Rest
0.322,673.7865869744523,1163.5152022260668,713.7121222868111,Rest
0.325,675.0752335876505,1163.4098074924716,721.267979296205,Rest
0.328,672.0719983663557,1163.4293953692193,711.5544326966325,Rest
0.331,670.4081690798007,1163.327383795665,697.3950973028061,Rest
0.334,668.5278962287779,1163.3081362614794,699.2183738015144,Rest
0.337,666.844485621987,1163.3477256712586,701.384442017608,Rest
0.34,666.1455078298459,1163.352537554805,717.3986962316866,Rest
0.343,668.8186489127456,1163.3616958095663,718.4886531220261,Rest
0.346,670.1475936350338,1163.6317448177033,720.6808877802954,Rest
0.349,671.3734777418945,1163.49993747472,702.5772485229073,Rest
0.352,669.9530458394344,1163.4236971644991,697.2968140002267,Rest
0.355,671.5358569068738,1163.4437737993924,684.0548812216379,Rest
0.358,674.7024178150198,1163.2973287460004,700.7476312813319,Rest
0.361,670.7301987087964,1163.44804268456,719.3214332248489,Rest
0.364,670.5449373179599,1163.355687660657,719.4075178393742,Rest
0.367,669.5935862771971,1163.4640566663809,725.2092606078697,Rest
0.37,670.9769500466525,1163.4393827246884,700.1911014546276,Rest
0.373,672.0871528490964,1163.3828971842404,693.6534963433143,Rest
0.376,674.7514158190985,1163.4417752554148,689.2959266061696,Rest
0.379,676.2403865147098,1163.4699479901728,697.1651181179426,Rest
0.382,673.2839212756063,1163.3621136381762,712.0094283830438,Rest
0.385,672.5046864157541,1163.4123496308744,716.8023272517117,Rest
0.388,672.3556396193075,1163.3837829093677,697.4203285479937,Rest
0.391,673.0008546114987,1163.3700577461789,688.0359993023872,Rest
0.394,669.6079164276024,1163.375469252523,683.4571580239723,Rest
0.397,670.3757805080152,1163.4620181872867,682.8641394214796,Rest
0.4,673.5030780438278,1163.3109817875602,695.3505438984089,Rest
0.403,673.5003100037944,1163.362429542831,706.8408199358964,Rest
0.407,673.3936027757647,1163.4192047618872,701.9502963960524,Rest
0.41,671.5976913687815,1163.361239237933,695.4810172892829,Rest
0.413,669.2677395662951,1163.4070334919732,673.3740989415763,Rest
0.416,668.9538692180954,1163.3909575213142,683.1272462758119,Rest
0.419,667.8017101051462,1163.441811018206,693.7510006130934,Rest
0.422,667.1810587860416,1163.4033105854166,697.8296605145526,Rest
0.425,668.2224760320754,1163.3842514019311,713.6347423356465,Rest
0.428,667.7412036348824,1163.498678028426,693.368432327322,Rest
0.431,669.5016776921365,1163.458537275617,684.9387270139131,Rest
0.434,666.6914196838641,1163.376674458584,679.737933246843,Rest
0.437,667.7645430284193,1163.3050898677218,670.2377361342592,Rest
0.44,670.6569481679139,1163.3800719237413,688.3955095285785,Rest
0.443,668.9148639339046,1163.3110807312823,694.1347007912041,Rest
0.446,669.5086234222201,1163.4334764997336,692.8511646808582,Rest
0.449,671.0894556152172,1163.4202514195742,680.4464179809592,Rest
0.452,674.5336710850801,1163.4091423045566,676.4858986718534,Rest
0.455,676.9151141542333,1163.4159086246382,666.3342429797939,Rest
