Timestamp,Channel1,Channel2,Channel3,Action,action_change
0.282,668.3901945817703,1165.8418030550245,695.4769987436531,Rest,1
0.285,669.773063632615,1165.7094533097093,693.6561690159045,Rest,1
0.288,670.6062669284662,1165.9000612378193,670.3245062022812,Rest,1
0.291,672.5388464377935,1166.0198993706583,672.9590121458783,Rest,1
0.294,671.1942930453173,1165.8365649982172,675.5771679374179,Rest,1
0.297,667.3863342268866,1165.8393121766223,693.2703737342803,Rest,1
0.3,663.6875323876777,1165.871103509796,705.4379427955082,Rest,1
0.303,664.2081682930193,1165.9836722592918,715.8979756710501,Rest,1
0.306,665.0184196255707,1165.8694178902408,713.9805840230684,Rest,1
0.309,667.5542464917,1165.8281369004412,708.7949185126922,Rest,1
0.312,669.9469387468026,1165.8870638474302,689.1503285348807,Rest,1
0.315,669.1915213097956,1165.7683015785576,701.9738545386617,Rest,1
0.318,670.6550026720765,1165.826923349729,698.4815005638004,Rest,1
0.321,669.4975256320864,1165.8321226635126,709.0450375133797,Rest,1
0.324,665.7681668720444,1165.9656746346564,718.1268904360402,Rest,1
0.327,666.3879002795101,1165.8429963401552,716.1961556906886,Rest,1
0.33,664.5341300408995,1165.9409959245916,715.8230806378223,Rest,1
0.333,666.761408062149,1165.5058807737685,691.4694239460736,Rest,1
0.336,669.4457744891374,1165.7567537733023,694.7575956294055,Rest,1
0.339,670.4783952806467,1165.8753515333356,709.127789035772,Rest,1
0.342,671.7824067810067,1165.8357299370443,724.0621488168417,Rest,1
0.345,672.6319882431017,1165.895920502653,715.7487166820426,Rest,1
0.348,669.9810928083768,1165.7335031906966,697.8196165346642,Rest,1
0.351,664.4413637448982,1165.7880527720515,693.8535033289794,Rest,1
0.354,665.6194365762992,1165.7310927785743,696.2664850075823,Rest,1
0.358,670.603835654716,1165.7750041216616,716.2140662925323,Rest,1
0.361,670.5988276718649,1165.7877779946064,722.4479851064664,Rest,1
0.364,671.8229063538201,1165.6279892477976,730.5823928812018,Rest,1
0.367,671.7662360389514,1165.7821525075617,725.2222126987234,Rest,1
0.37,674.5747929304591,1165.8141137139933,710.4285616193487,Rest,1
0.373,674.8104530346934,1165.9210146571415,700.5090565096207,Rest,1
0.376,675.5050600177121,1165.8398045110469,714.7330975214359,Rest,1
0.379,672.8551271981153,1165.8105159772058,728.2870517119231,Rest,1
0.382,672.6574525424782,1165.7690436564735,740.7432729891864,Rest,1
0.385,671.2884677992424,1165.938603393865,732.5652936178795,Rest,1
0.388,673.4143952625269,1165.8742416947175,720.1341790120815,Rest,1
0.391,673.320166864415,1165.8268726857748,704.771702262366,Rest,1
0.394,672.0882811651566,1165.891811953999,708.2142857568605,Rest,1
0.397,669.2422877838954,1165.9369535371009,716.9276853713615,Rest,1
0.4,669.4020795109367,1165.8683801732516,723.9248083740245,Rest,1
0.403,668.6752132982269,1165.8795906161774,722.947813623883,Rest,1
0.406,668.558879322872,1165.798947310322,725.6360638899879,Rest,1
0.409,668.8703285301124,1165.788408015777,713.7220798399544,Rest,1
0.412,666.7436822347262,1165.8383877084718,699.0487067757496,Rest,1
0.415,664.7320764937492,1165.7556290335212,705.0961136932509,Rest,1
0.418,662.1463778193447,1165.7889182315969,715.9087748418777,Rest,1
0.421,665.4534751717418,1165.8956218833473,724.4134556547947,Rest,1
0.424,667.7954367155357,1165.783268306645,724.0659110624684,Rest,1
0.427,670.9239239601998,1165.902050841099,722.124421849778,Rest,1
0.43,674.6065663822372,1165.8030731443257,708.9195721053567,Rest,1
0.433,674.1485946355575,1165.8488375960394,706.4244409113456,Rest,1
0.436,671.9761588545035,1165.7723409858156,706.76237186937,Rest,1
0.439,668.6507241309553,1165.657713491644,713.0622086599122,Rest,1
0.442,667.2698661410649,1165.8389986561535,717.4320301332509,Rest,1
0.445,666.9218298103607,1165.7061565764136,722.4061050899154,Rest,1
0.448,664.2650633174256,1165.7799328303256,703.4227196482086,Rest,1
0.451,665.1119655504185,1165.8629835680704,701.3262827785352,Rest,1
0.454,670.0638538675134,1166.0918803324555,699.6489834367017,Rest,1
0.457,670.5789864753468,1165.833972791907,708.0513850511771,Rest,1
0.46,668.1407205034161,1165.932782999609,722.598553013629,Rest,1
0.463,667.9988209007765,1165.9693593942354,732.1112861765964,Rest,1
0.466,669.1738127677218,1165.9442413978863,713.6562900133479,Rest,1
0.469,670.1808321691551,1165.866736276953,712.562756247849,Rest,1
0.472,671.4212615992143,1165.810140467899,706.042820339539,Rest,1
0.475,672.2600409102489,1165.8876122102274,699.4874137028949,Rest,1
