Timestamp,Channel1,Channel2,Channel3,Action
0.28,0.2662580866578634,-2.926467599914954,0.5820496777682553,Rest
0.283,0.14236647478832062,-3.1218778955165645,1.1239485365418382,Rest
0.286,0.03734684124683818,-3.2284409024133147,1.632808559846762,Rest
0.289,-0.03201146484812895,-3.1739065426517827,2.080818059610725,Rest
0.292,-0.053059497527933534,-2.9232157962002154,2.4502549876733895,Rest
0.295,-0.01879881218376921,-2.493104087224529,2.736732308767923,Rest
0.298,0.07106313278536468,-1.958442076065887,2.9496767686598484,Rest
0.301,0.2095430653861983,-1.4459988364371588,3.109307856898758,Rest
0.304,0.38253334483268275,-1.1132865011893973,3.240638636566577,Rest
0.307,0.5700654762102131,-1.1136520373592753,3.3663243985274818,Rest
0.31,0.748890434296828,-1.5532994166411396,3.500724011365531,Rest
0.314,0.8960672282846438,-2.4502820485941443,3.646992507445185,Rest
0.317,0.9927536737377693,-3.707883855553268,3.7977352401970097,Rest
0.32,1.0272594698177528,-5.113744594956608,3.938434765938762,Rest
0.323,0.9966993744898662,-6.371183243113697,4.052145275867382,Rest
0.326,0.9070399310709001,-7.160770823596518,4.124041931714082,Rest
0.329,0.7717181779420393,-7.219460484941211,4.144979987293661,Rest
0.332,0.6092454715334693,-6.414985586919443,4.113699920099917,Rest
0.335,0.44031562033219146,-4.790781870123306,4.0374431528163,Rest
0.338,0.2849115096057598,-2.565401064996275,3.9307151130245748,Rest
0.341,0.1597669284909094,-0.0869099068238075,3.8121361103940834,Rest
0.344,0.07640257318613483,2.242007942463093,3.6999448210672794,Rest
0.347,0.03990030953769334,4.045849693887909,3.607484179999051,Rest
0.35,0.04854085461885558,5.045136580628743,3.540267172389363,Rest
0.353,0.09431824845467714,5.100139625858281,3.4955776170480957,Rest
0.356,0.16421292645720484,4.2255920290419535,3.4643493684262214,Rest
0.359,0.24206590418461763,2.5786825859819587,3.434163778020381,Rest
0.362,0.3109291544053226,0.42607636585228825,3.3921860520352767,Rest
0.365,0.3557297704371937,-1.9029920223665815,3.327503969637915,Rest
0.368,0.3659188781614317,-4.0705315355402,3.2329724487475553,Rest
0.371,0.33759562581082775,-5.7839886453106235,3.1068158187764854,Rest
0.374,0.2745530960013243,-6.84375167201184,2.953852126610809,Rest
0.377,0.1878294753068496,-7.174931255975349,2.7856658079756107,Rest
0.38,0.09362230207465085,-6.834173305178892,2.618951081256693,Rest
0.383,0.00980427382236701,-5.987457932627639,2.4718888876627814,Rest
0.386,-0.04826449076073769,-4.864314814458267,2.3595130296356013,Rest
0.389,-0.07153352803623347,-3.7021885214596844,2.289829962146691,Rest
0.392,-0.059468010418323974,-2.6971079568737277,2.262294529931282,Rest
0.395,-0.01982830518814845,-1.9728346085466208,2.2690360242527907,Rest
0.398,0.03401090232128613,-1.5732020422707178,2.2977527678176104,Rest
