Timestamp,Channel1,Channel2,Channel3,Action1,Action2
0.0,677.0762386412905,1166.2681479773698,689.3852090102683,Rest,
0.284,672.5633975939032,1166.3507475078998,681.8491574346015,Rest,
0.287,672.5223496582925,1166.6930492750464,698.0513230623392,Rest,
0.29,673.4115819229581,1166.6353013080718,719.6577977726218,Rest,
0.293,671.9405164647718,1166.6417266895446,715.8843846183281,Rest,
0.296,671.5317334570567,1166.6938688390098,701.3917602767658,Rest,
0.299,670.2213579680155,1166.711669768294,689.0453867966398,Rest,
0.302,671.3392110275282,1166.6905428994348,694.2059796102022,Rest,
0.305,671.8080320129433,1166.699668371638,705.2697682702266,Rest,
0.308,669.1922574272463,1166.7257471949754,726.0671080430875,Rest,
0.311,670.8924401870298,1166.7557396597551,730.2113849176627,Rest,
0.314,672.0183982871054,1166.7168666978916,718.3165774722788,Rest,
0.318,672.244245081454,1166.6408290434872,692.3743179290674,Rest,
0.321,673.2364741845696,1166.688549719876,691.5998556136913,Rest,
0.324,672.7037921790829,1166.6164292831932,705.9995759725065,Rest,
0.327,672.3738536088292,1166.5866913302768,718.8369415804078,Rest,
0.33,674.7250181108735,1166.8224015024186,722.0129593626212,Rest,
0.333,674.0354203027988,1166.7205121184006,710.7456458503777,Rest,
0.336,673.5226957229013,1166.6389258669526,710.3794086431752,Rest,
0.339,670.6739313213743,1166.6127093568693,698.6675356230182,Rest,
0.342,671.9587233017353,1166.7326386848258,699.6452402645635,Rest,
0.345,672.6124671235641,1166.6997285723362,711.1644674735627,Rest,
0.348,672.9734126297727,1166.7117800369,727.2431257060916,Rest,
0.351,674.540547077721,1166.6387530134623,722.9795781349633,Rest,
0.354,677.5684991560578,1167.469919022312,726.54042739158,Rest,
0.357,679.6003329277436,1166.6872223242785,708.9675019940736,Rest,
0.36,680.2730381814287,1166.6781981799838,694.7505706251347,Rest,
0.363,679.3750130385176,1166.683321199813,693.0895683872185,Rest,
0.366,679.4185941718333,1166.7383958981509,700.4833865741953,Rest,
0.369,679.1085826287964,1166.7046060209996,715.9586615513159,Rest,
0.372,679.2015557529397,1166.716204490209,708.7824849823099,Rest,
0.375,677.4333599130345,1166.668190558933,697.9532996360421,Rest,
