Timestamp,Channel1,Channel2,Channel3,Action1,Action2
0.0,666.4842553716011,672.9911444176607,725.0986987470029,Rest,
0.289,661.1372764274212,672.6296821391204,697.0750620454623,Rest,
0.293,654.1520773353669,666.8695201718235,687.0002278089795,Rest,
0.296,642.7621773197862,669.1680072746285,688.1493584095667,Rest,
0.299,635.676995000481,672.1203466797289,691.9677724799839,Rest,
0.302,629.6669023831967,671.9045188313149,695.3427517822685,Rest,
0.305,638.5918865909441,674.1278075132141,713.9445923500767,Rest,
0.308,661.255241782098,675.5896908747782,728.2793591355513,Rest,
0.311,685.9418601920438,676.3187207363511,738.0648491459905,Rest,
0.314,702.4908092607033,682.6774326178352,727.2971883174406,Rest,
0.317,699.894834148268,689.6448981338618,731.1438526086631,Rest,
0.32,696.8057026631477,688.0190906547416,724.8349916738262,Rest,
0.323,689.9191296004211,681.9652559715814,733.2598171543857,Rest,
0.326,683.8609264923247,683.5222498801053,729.2710124577299,Rest,
0.329,676.1075557598538,682.3354849023204,733.6445526652994,Rest,
0.332,667.8606865239962,682.5952413791706,732.6219496276318,Rest,
0.335,659.5826261738093,682.5483074841866,731.0679109177483,Rest,
0.338,648.0435726694551,676.7598887395726,712.6147404449869,Rest,
0.341,637.3715701546157,670.7071841606121,724.6026980403302,Rest,
0.344,641.5464927609554,674.6998315691748,725.2007907868374,Rest,
0.347,647.9708532060209,672.517074646601,720.5115169896503,Rest,
0.35,649.9579542825168,677.299518859329,731.8894179927609,Rest,
0.353,649.1541009132983,677.2609677625857,727.3575171658417,Rest,
0.356,649.4077729472843,679.3768035622601,721.5366502447904,Rest,
0.359,659.7412156750221,677.5212648536283,707.1849128228322,Rest,
0.362,656.9115348948878,672.7282575044939,709.8777520510855,Rest,
0.365,667.0430728248444,673.4130946890228,723.006109953655,Rest,
0.368,683.5451368743344,683.4026287081991,724.6834003547907,Rest,
0.371,680.7635081724534,686.2127740636795,720.5041838293295,Rest,
0.374,675.9077329525629,685.0157105941428,720.2222001817465,Rest,
0.377,674.1715734209506,684.3228929427735,725.8396221208122,Rest,
0.38,661.7939140550988,680.3704554284162,716.8264337571185,Rest,
0.383,651.4540596549582,676.5670021256211,717.3804131007687,Rest,
0.386,648.3218495037377,672.8482780275676,722.3218098070395,Rest,
0.389,646.1434240512161,671.8284549508637,723.6493359386129,Rest,
0.392,650.5154532808606,698.5420290877854,719.9565154262203,Rest,
0.395,660.3281617555812,698.5625318959393,717.7532825175861,Rest,
0.398,674.8870086535226,676.1440242700605,705.424450090462,Rest,
0.401,687.8005841732721,672.5700053656108,701.2832953075523,Rest,
0.404,691.4125110402716,673.5390697168195,716.670535405938,Rest,
0.407,685.0213545586294,677.5592431496672,725.1566314883985,Rest,
0.41,673.4431586793851,679.140848414999,721.3651372629568,Rest,
0.413,668.512497963011,679.9110156191606,717.1793159460206,Rest,
0.416,671.1093331705729,679.4042866711958,714.249640017705,Rest,
0.419,668.8744430392317,673.5392014431002,702.2994825004914,Rest,
0.422,675.23332539002,670.8411092568766,697.3021867635473,Rest,
0.425,675.6326932469241,667.2805317974725,711.8518408360292,Rest,
0.428,676.5153391975568,676.19691565,717.1150144475715,Rest,
0.431,668.4662614424541,676.6971745130031,712.7931413403918,Rest,
0.435,664.2647438364916,681.9626184657358,707.5435498408734,Rest,
0.438,658.3466653045017,685.737335173766,690.5515582026909,Rest,
0.441,655.0071924933425,674.9338865201338,689.0792189930938,Rest,
0.444,654.4184362195058,673.8790224646357,708.9924745550721,Rest,
0.447,646.025878909335,667.4017658712585,710.2616012408258,Rest,
0.45,644.5146911757816,671.8177243253856,702.4497052967197,Rest,
0.453,647.3376056358344,669.1356705588902,689.4646232682018,Rest,
0.456,641.2999750733346,671.14847435337,687.2004237413912,Rest,
0.459,642.6321157970566,671.1802990651487,691.5698059284456,Rest,
0.462,647.2456118161216,673.5964385982082,700.4467207725908,Rest,
0.465,650.1173794409489,674.9352431220105,696.8355425400189,Rest,
0.468,660.4611975504396,675.230881599293,697.8385320709386,Rest,
0.471,670.0136452929551,679.0309314764656,707.7252915770163,Rest,
0.474,682.189297937071,683.2858178956292,695.5897171008249,Rest,
0.477,694.1310345090669,681.2634201363826,685.0141352431936,Rest,
0.48,696.6020490648805,677.5295636093097,678.16521443906,Rest,
0.483,685.3673118790759,677.8692564808435,703.5535774890873,Rest,
0.486,674.3145912068595,674.6812730647652,697.1010812641479,Rest,
0.489,660.1761496277034,666.1838801126337,705.6874472722349,Rest,
0.492,651.9425585201452,670.3508294046914,699.8817252971799,Rest,
0.495,640.8173001786828,669.211328531662,684.6047132736103,Rest,
0.498,636.4658846218448,669.8285263572367,684.567578979442,Rest,
0.501,645.633071140417,672.0079293260491,695.808574653694,Rest,
0.504,653.296446001106,668.6884109602464,693.9162330527583,Rest,
0.507,668.8167809029557,675.2651936131947,696.7257245452075,Rest,
0.51,688.0595866512759,686.8825998166323,693.3786616776779,Rest,
0.513,688.8129793182587,687.0269062551148,698.9637832598428,Rest,
0.516,682.1017816188075,683.2134590403389,699.1882549748725,Rest,
0.519,673.4547005241752,681.494742214053,697.9355982465265,Rest,
0.522,670.4820818283655,691.6889443026714,700.6199759983988,Rest,
0.525,674.9320095696461,702.7496424614957,717.8603467774805,Rest,
0.528,681.4555259293945,686.7755051583654,710.5704940045468,Rest,
0.531,687.1612068606862,678.3742348401827,700.734337655823,Rest,
0.534,688.8082067737826,676.9804503894389,701.4163048763638,Rest,
0.537,692.8961024160507,677.0641901569593,691.8996050238138,Rest,
0.54,690.348883908854,677.3487904487598,695.1056808359242,Rest,
0.543,688.747054785139,677.1288701449478,700.2768725486842,Rest,
0.546,681.0735280601416,679.8049318557896,708.7722431149773,Rest,
0.549,672.3363646669823,679.6402656603176,703.0821011164309,Rest,
0.552,669.5230161575098,680.5686343394082,705.8957178468368,Rest,
0.555,664.834938625686,682.0054050690419,694.229865578397,Rest,
0.558,656.0514886440621,678.0270919832101,684.2232232359914,Rest,
0.561,646.118096842539,673.779066059478,688.9486204324509,Rest,
0.565,648.2901141989367,674.9753814906337,700.1868355496925,Rest,
0.568,662.4775513979854,678.5431991271018,707.3641195731306,Rest,
0.571,671.3171233316807,676.0837472777065,709.6874326094904,Rest,
0.574,676.4992161392231,674.8409163762232,711.0361654801566,Rest,
0.577,673.0177382251904,672.9381898567902,711.2463523443165,Rest,
0.58,662.0312168635388,671.2329246083408,681.1742003171682,Rest,
0.583,659.1509025276783,669.3753152341027,687.042013054134,Rest,
0.586,675.3498769223544,670.4215842987995,699.3831973532674,Rest,
0.589,693.1875047907239,676.0219694402182,711.4896031009678,Rest,
0.592,699.0223215845015,678.6349879068122,695.1225203421736,Rest,
0.595,690.936114899649,677.6506886065827,692.4448844724756,Rest,
0.598,682.9273334654968,673.2026193383479,687.1342661540825,Rest,
0.601,673.2263413937499,674.9020320060291,685.8445818238952,Rest,
0.604,661.638873414859,679.5506458938892,692.6799801206565,Rest,
0.607,660.7364494486391,677.7241364388628,700.0973945972198,Rest,
0.61,667.3551603979064,678.0273959669347,696.5508194626354,Rest,
0.613,676.4985861180527,684.0588884423838,704.445045524245,Rest,
0.616,679.8063194520854,677.256605894161,683.4115396036553,Rest,
0.619,690.2375227496055,674.1029261473329,679.9077218660976,Rest,
0.622,690.600652170259,679.2930274359021,679.9558341450494,Rest,
0.625,692.9670772513243,674.6284037385468,690.2404618549898,Rest,
0.628,693.6412827540973,678.6600969624635,687.8860900266278,Rest,
0.631,691.0249300032771,687.8842166524191,701.5053101188314,Rest,
0.634,684.7468095716011,698.3450488263427,692.9154781002376,Rest,
0.637,678.5200594091486,679.368545337742,699.1265343578499,Rest,
0.64,668.839722137418,663.5776094886791,691.7537893955456,Rest,
0.643,663.1670425137332,663.0123213544275,695.0104230654744,Rest,
0.646,660.9322572865793,671.2760843367677,707.8865454061681,Rest,
0.649,664.3199735069244,666.6661884386764,693.214539076631,Rest,
0.652,665.6825179675243,668.6548708265866,685.4947370880528,Rest,
0.655,663.6995719313111,677.6677033505086,685.247204929257,Rest,
0.658,669.5440363340421,671.6382791564797,686.6130073801288,Rest,
0.662,680.1025658968169,667.6895711051907,690.9122378721521,Rest,
0.665,682.5919988861083,667.0736178247473,700.1959198946857,Rest,
0.668,680.3769886943088,675.6102181208394,706.4590157817621,Rest,
0.671,666.8354102176917,675.3954196447635,704.3079107174767,Rest,
0.674,652.0475705918753,671.4450909429897,689.150749343723,Rest,
0.677,644.2579405615259,668.8199995541572,673.0451122576133,Rest,
0.68,635.7879329667012,669.0291183029555,684.5787572358557,Rest,
0.683,638.3398018288376,668.2440237097768,683.5244373708292,Rest,
0.686,664.0954767579409,674.6679770550701,710.2374828144888,Rest,
0.689,679.2676048597818,678.1126365795894,712.9534313623227,Rest,
0.692,675.9141166107794,677.1839430551461,698.7292896186459,Rest,
0.695,661.5093602549267,675.7367874070153,690.3602880668983,Rest,
0.698,666.4559932298653,669.6417122652188,685.6145460146124,Rest,
0.701,687.5157806296087,673.353503746212,680.9661472995457,Rest,
0.704,697.2198727392998,677.2449323230901,687.6309147633212,Rest,
