Timestamp,Channel1,Action1,Action2
0.0,647.7537837927084,Rest,
0.285,633.4400133419052,Rest,
0.287,630.8611042333965,Rest,
0.288,631.2265641959386,Rest,
0.29,633.1767246933847,Rest,
0.291,633.5197357558889,Rest,
0.293,634.9367159529586,Rest,
0.294,635.9328354517025,Rest,
0.296,635.5771703216041,Rest,
0.297,633.7458042795424,Rest,
0.299,630.965556021399,Rest,
0.3,630.7857955438847,Rest,
0.302,631.4490343867582,Rest,
0.303,632.6127609744979,Rest,
0.304,635.0607699228251,Rest,
0.306,636.951758498163,Rest,
0.307,637.4624302938497,Rest,
0.309,638.56797141647,Rest,
0.31,640.7300306236781,Rest,
0.312,640.1890105234397,Rest,
0.313,641.5123863831027,Rest,
0.315,640.7687456332142,Rest,
0.316,638.1565777250025,Rest,
0.318,637.9108265532049,Rest,
0.319,636.9649251657635,Rest,
0.321,637.3221722033229,Rest,
0.322,636.6465910251845,Rest,
0.323,634.6945899360883,Rest,
0.325,635.781005118013,Rest,
0.326,636.878789887284,Rest,
0.328,634.729343024414,Rest,
0.329,633.8054762846799,Rest,
0.331,636.9307180560492,Rest,
0.332,641.7425247123867,Rest,
0.334,644.8049562936969,Rest,
0.335,644.6207206989194,Rest,
0.337,642.3876562580652,Rest,
0.338,639.5812642075139,Rest,
0.339,636.1966164346476,Rest,
0.341,633.4966306086338,Rest,
0.342,635.7373530551616,Rest,
0.344,635.23024859789,Rest,
0.345,634.0292416845848,Rest,
0.347,636.4477075872072,Rest,
0.348,638.6429200938845,Rest,
0.35,641.9918372621343,Rest,
0.351,638.2378295943533,Rest,
0.353,639.6030050042874,Rest,
0.354,641.5591235827355,Rest,
0.356,641.0854150158661,Rest,
0.357,636.7402978825925,Rest,
0.358,631.722902264941,Rest,
0.36,630.292887722598,Rest,
0.361,629.3722980466245,Rest,
0.363,631.4204229617623,Rest,
0.364,637.0663937409394,Rest,
0.366,640.8466453369433,Rest,
0.367,641.8314459122951,Rest,
0.369,641.4428384831951,Rest,
0.37,643.6618970229503,Rest,
0.372,643.5343549888557,Rest,
0.373,643.3565751739234,Rest,
0.374,641.7986013649227,Rest,
0.376,639.7819554545827,Rest,
0.377,639.027488711773,Rest,
0.379,635.6706232631949,Rest,
0.38,635.297640597539,Rest,
0.382,635.8672357639356,Rest,
0.383,635.1289111529483,Rest,
0.385,636.932254067928,Rest,
0.386,636.8814118959202,Rest,
0.388,640.2378475949582,Rest,
0.389,641.3430430105976,Rest,
0.391,643.1637410120655,Rest,
0.392,642.7329722324577,Rest,
0.393,642.2558310336865,Rest,
0.395,642.5575605103446,Rest,
0.396,642.1056887037383,Rest,
0.398,640.0549340313595,Rest,
