Timestamp,Channel1,Action1,Action2
0.0,625.9319765486689,Rest,
0.292,651.9166316886701,Rest,
0.294,641.5996791839217,Rest,
0.295,632.5301703846658,Rest,
0.297,627.2244450121457,Rest,
0.298,613.0724952307338,Rest,
0.3,618.3899621236279,Rest,
0.301,618.5407595087003,Rest,
0.303,629.1610710812892,Rest,
0.304,624.0357129616395,Rest,
0.306,631.7416479279575,Rest,
0.307,640.5514532985036,Rest,
0.308,643.3211557055897,Rest,
0.31,643.6366055770642,Rest,
0.311,644.1570352503103,Rest,
0.313,638.9098118436112,Rest,
0.314,630.1417499949634,Rest,
0.316,621.5309430993727,Rest,
0.317,614.2061578281114,Rest,
0.319,609.7296112453474,Rest,
0.32,609.3085526595775,Rest,
0.322,613.3421407153775,Rest,
0.323,620.493125378266,Rest,
0.324,630.620474889335,Rest,
0.326,637.6664766867729,Rest,
0.327,643.1777916166534,Rest,
0.329,640.9333170572897,Rest,
0.33,635.4293525730792,Rest,
0.332,630.5963296409046,Rest,
0.333,627.6697918975105,Rest,
0.335,620.3358221454408,Rest,
0.336,615.1158076662788,Rest,
0.338,613.1646774011466,Rest,
0.339,612.0861419542005,Rest,
0.341,613.9623748019188,Rest,
0.342,619.0554623669938,Rest,
0.343,625.8905054200299,Rest,
0.345,633.7717334952036,Rest,
0.346,644.0108464969213,Rest,
0.348,650.8644206362272,Rest,
0.349,655.1346224706915,Rest,
0.351,653.5464249308616,Rest,
0.352,648.8137213961746,Rest,
0.354,640.7030869368418,Rest,
0.355,632.8242221861151,Rest,
0.357,625.2267205985452,Rest,
0.358,621.0816038944249,Rest,
0.36,620.6434429458908,Rest,
0.361,622.48403638411,Rest,
0.362,626.3259013087632,Rest,
0.364,630.7609189463757,Rest,
0.365,636.1955673927745,Rest,
0.367,644.5318591036629,Rest,
0.368,647.4008932591549,Rest,
0.37,648.2126120582357,Rest,
0.371,645.603931022159,Rest,
0.373,642.6563272066506,Rest,
0.374,635.3721243586689,Rest,
0.376,625.8064819343665,Rest,
0.377,615.6764084907065,Rest,
0.379,614.6870821341374,Rest,
0.38,617.3249408394028,Rest,
0.381,620.8470035609012,Rest,
0.383,625.2120042099958,Rest,
0.384,632.9238197712683,Rest,
0.386,640.4099601995897,Rest,
0.387,645.4522473159132,Rest,
0.389,647.1813967444177,Rest,
0.39,646.8881174192569,Rest,
0.392,643.618345095914,Rest,
0.393,636.5958656782943,Rest,
0.395,628.7383179352662,Rest,
0.396,622.8951678151092,Rest,
0.397,618.4508059562213,Rest,
0.399,617.3002376914308,Rest,
0.4,618.3614579870055,Rest,
0.402,623.9180509946407,Rest,
0.403,631.32504061759,Rest,
0.405,637.0823922255507,Rest,
0.406,641.4298494374573,Rest,
0.408,644.6865528448287,Rest,
0.409,646.0226995972037,Rest,
0.411,644.9670815428592,Rest,
0.412,642.1323111215008,Rest,
0.414,635.9027923229685,Rest,
0.415,629.2040251736671,Rest,
0.416,621.4469082888255,Rest,
0.418,615.881779895041,Rest,
0.419,615.8401323366323,Rest,
0.421,619.5368939086072,Rest,
0.422,626.3031990889548,Rest,
0.424,633.7122701063478,Rest,
0.425,640.7784862254246,Rest,
0.427,637.977254745633,Rest,
0.428,633.0195937180035,Rest,
0.43,632.8879145250219,Rest,
0.431,632.1218284513745,Rest,
0.433,634.3401592183303,Rest,
0.434,635.9770096513045,Rest,
0.435,633.8547538345758,Rest,
0.437,630.2167547007507,Rest,
0.438,625.6526888194905,Rest,
0.44,622.0913865675195,Rest,
0.441,623.111909998883,Rest,
0.443,629.4921224703935,Rest,
0.444,640.0154161471625,Rest,
0.446,647.9480788645839,Rest,
0.447,652.6406851578575,Rest,
0.449,654.4255059272654,Rest,
0.45,654.5037239198356,Rest,
0.451,652.7467695172751,Rest,
0.453,644.6253799945569,Rest,
0.454,636.7861278994236,Rest,
0.456,629.0331088343988,Rest,
0.457,622.8294280564103,Rest,
0.459,621.6275646242576,Rest,
0.46,622.3608472777423,Rest,
0.462,626.2309832848291,Rest,
0.463,636.1066360600753,Rest,
0.465,644.6121972337004,Rest,
0.466,649.5384162114162,Rest,
0.468,652.3808684803091,Rest,
0.469,652.8720012750628,Rest,
0.47,652.1913018454674,Rest,
0.472,649.168130656258,Rest,
0.473,641.5816523530069,Rest,
0.475,633.9078240284709,Rest,
0.476,625.9879202828312,Rest,
0.478,621.3344074886331,Rest,
0.479,618.9958297009265,Rest,
0.481,620.9728683200917,Rest,
0.482,624.7045451050454,Rest,
0.484,632.0672037681584,Rest,
0.485,638.0220947291964,Rest,
0.486,643.3831129530803,Rest,
0.488,649.2560081787119,Rest,
0.489,650.8393270777854,Rest,
0.491,649.9324744859307,Rest,
0.492,646.3926710358465,Rest,
0.494,638.9312999166608,Rest,
0.495,631.3126094713938,Rest,
0.497,624.4994335769932,Rest,
0.498,621.5427084616075,Rest,
0.5,620.9670103749049,Rest,
0.501,622.2578093120825,Rest,
0.503,626.1874385103511,Rest,
0.504,633.0728725281801,Rest,
0.506,637.5438466720399,Rest,
0.507,642.7251801163172,Rest,
0.508,647.4374762102933,Rest,
0.51,648.6033950571293,Rest,
0.511,647.2034987453817,Rest,
0.513,641.3611562682577,Rest,
0.514,633.0795154666323,Rest,
0.516,625.0438982300637,Rest,
0.517,617.6833811620928,Rest,
0.519,613.0417177726886,Rest,
0.52,613.4774569842168,Rest,
0.522,618.0283365283414,Rest,
0.523,625.4375982806204,Rest,
0.524,636.476047811037,Rest,
0.526,641.550645417052,Rest,
0.527,646.0967971201893,Rest,
0.529,646.7024864795787,Rest,
0.53,646.4503742993325,Rest,
0.532,643.6163203258897,Rest,
0.533,640.3357720775333,Rest,
0.535,635.0186628125504,Rest,
0.536,626.6605319572129,Rest,
0.538,619.8017281057511,Rest,
0.539,617.0745840161543,Rest,
0.541,618.4731386271881,Rest,
0.542,623.0662033636812,Rest,
0.543,629.5643203931237,Rest,
0.545,636.5288819705107,Rest,
0.546,641.4834471325215,Rest,
0.548,645.5771005841614,Rest,
0.549,648.2176027557376,Rest,
0.551,646.7821206786776,Rest,
0.552,641.3948239558725,Rest,
0.554,635.3125298395788,Rest,
0.555,628.3434931449286,Rest,
0.557,622.2592541288441,Rest,
0.558,617.7443263225945,Rest,
0.559,617.8642276363644,Rest,
0.561,618.0954573268243,Rest,
0.562,619.8100393784093,Rest,
0.564,620.0083440552168,Rest,
0.565,623.6875383481429,Rest,
0.567,631.9564428277544,Rest,
0.568,639.3235211758043,Rest,
0.57,647.4405571747491,Rest,
0.571,650.3866881593094,Rest,
0.573,648.3722619262054,Rest,
0.574,643.3953491920649,Rest,
0.576,636.5293415223767,Rest,
0.577,631.4530016723874,Rest,
0.578,624.0193169140001,Rest,
0.58,622.5080057988174,Rest,
0.581,623.4569947072262,Rest,
0.583,627.9380396530676,Rest,
0.584,633.6428974441168,Rest,
0.586,638.4037129168169,Rest,
0.587,644.1759007186771,Rest,
0.589,649.0803431368283,Rest,
0.59,649.8425358346148,Rest,
0.592,647.6119563116976,Rest,
0.593,641.3912619818761,Rest,
0.594,634.7641300873911,Rest,
0.596,625.7183248660951,Rest,
0.597,616.7117323531785,Rest,
0.599,616.3547124093428,Rest,
0.6,619.8387878941045,Rest,
0.602,625.052656537611,Rest,
0.603,630.1499319255271,Rest,
0.605,636.0870815619328,Rest,
0.606,641.9463446076327,Rest,
0.608,648.0316576995442,Rest,
0.609,651.8459340150278,Rest,
0.611,647.9584751079649,Rest,
0.612,644.0218989875196,Rest,
0.614,637.970883008347,Rest,
0.615,631.1416514088692,Rest,
0.617,623.5517118634834,Rest,
0.618,617.7117797984814,Rest,
0.62,614.2625599220466,Rest,
0.621,615.3510100067866,Rest,
0.622,621.3922478428183,Rest,
0.624,629.8937165610453,Rest,
0.625,637.6277944597953,Rest,
0.627,642.638734893648,Rest,
0.628,646.7660536487166,Rest,
0.63,647.5276407632399,Rest,
0.631,644.1887759195299,Rest,
0.633,637.3765519114198,Rest,
0.634,629.0212814833261,Rest,
0.636,622.7586350153249,Rest,
0.637,617.3284855280501,Rest,
0.638,615.9053445941621,Rest,
0.64,618.4417377044842,Rest,
0.641,616.8434175066253,Rest,
0.643,618.3094356428904,Rest,
0.644,625.584587524484,Rest,
0.646,636.450393372821,Rest,
0.647,644.7400819945433,Rest,
0.649,651.1926563015767,Rest,
0.65,654.1880862937077,Rest,
0.652,652.0112659944613,Rest,
0.653,644.6428757480235,Rest,
0.655,634.8731398431229,Rest,
0.656,626.9293548976606,Rest,
0.657,619.7146421330741,Rest,
0.659,618.672361811681,Rest,
0.66,620.1209932709925,Rest,
0.662,623.6522237839965,Rest,
0.663,630.5208230639486,Rest,
0.665,638.2551554745621,Rest,
0.666,644.8533934180014,Rest,
0.668,649.6164285679374,Rest,
0.669,650.5081141600745,Rest,
0.671,650.4215944315904,Rest,
0.672,647.3262282998834,Rest,
0.673,641.4714814986564,Rest,
0.675,632.3592182826064,Rest,
0.676,624.7861635430054,Rest,
0.678,621.8585666249473,Rest,
0.68,620.8811755038708,Rest,
0.681,622.5404980826971,Rest,
0.683,628.0370054289109,Rest,
0.684,636.7328723350611,Rest,
0.686,643.292846476179,Rest,
0.687,646.5387858794672,Rest,
0.688,647.7589330385844,Rest,
0.69,648.4897730934349,Rest,
0.691,645.3783607933951,Rest,
0.693,640.760166735669,Rest,
0.694,633.4515945257657,Rest,
0.696,623.2726542082613,Rest,
0.697,615.7283956680769,Rest,
0.699,612.8853592735957,Rest,
0.7,615.5420631816462,Rest,
0.702,621.2752635807113,Rest,
0.703,628.6737207977438,Rest,
0.705,635.1261639745431,Rest,
0.706,642.2959449644023,Rest,
0.707,650.1251918226709,Rest,
0.709,649.5527564946123,Rest,
0.71,650.450151616353,Rest,
0.712,651.7791446184092,Rest,
0.713,646.9420143296736,Rest,
0.715,640.9460486109315,Rest,
0.716,634.742609231783,Rest,
0.718,628.9166800876475,Rest,
0.719,622.108626020983,Rest,
0.721,623.3421824386337,Rest,
0.722,629.0720717992868,Rest,
0.723,634.4877200708056,Rest,
0.725,631.882198677325,Rest,
0.726,630.8635390834258,Rest,
0.728,633.2721731987206,Rest,
0.729,638.7888340698282,Rest,
0.731,643.4417108823908,Rest,
0.732,645.7767392130779,Rest,
0.734,641.1793221449044,Rest,
0.735,632.1514358701033,Rest,
0.737,623.7442384653376,Rest,
0.738,617.5839910011281,Rest,
0.74,616.9528570118972,Rest,
0.741,623.1628028348449,Rest,
0.742,630.913709511007,Rest,
0.744,634.8941886298882,Rest,
0.745,641.4711095656287,Rest,
0.747,651.8905713427748,Rest,
0.748,658.4123752608747,Rest,
0.75,657.9194346570295,Rest,
0.751,652.9232582954476,Rest,
0.753,646.6033794407105,Rest,
0.754,638.9766858788354,Rest,
0.756,631.3534690563046,Rest,
0.757,626.3964493747293,Rest,
0.758,624.3748747557253,Rest,
0.76,623.8767139764683,Rest,
0.761,626.0099322807708,Rest,
0.763,632.2562905855525,Rest,
0.764,636.9988884924517,Rest,
0.766,642.345008533598,Rest,
0.767,648.5286526118102,Rest,
0.769,650.4234290627753,Rest,
0.77,651.972989675163,Rest,
0.772,652.2566750355571,Rest,
0.773,648.8948182934306,Rest,
0.775,642.2980335114042,Rest,
0.776,634.8801439857655,Rest,
0.777,626.171212932016,Rest,
0.779,623.2918266405852,Rest,
0.78,624.233446625882,Rest,
0.782,627.8077987203358,Rest,
0.783,633.3313558496661,Rest,
0.785,638.097538721268,Rest,
0.786,642.0971270915421,Rest,
0.788,646.5503903091419,Rest,
0.789,650.8378912017216,Rest,
0.791,650.698465192135,Rest,
0.792,648.0707786167596,Rest,
0.793,640.1478284773622,Rest,
0.795,630.6555033511523,Rest,
0.796,621.716500725329,Rest,
0.798,616.7801507449329,Rest,
0.799,616.6437043718939,Rest,
0.801,621.870613321139,Rest,
0.802,630.0564253397495,Rest,
0.804,632.8903815615632,Rest,
0.805,636.1154879469261,Rest,
0.807,641.8252076894292,Rest,
0.808,645.3870302900112,Rest,
0.81,646.6321577587315,Rest,
0.811,646.0954852218015,Rest,
0.812,646.6034807686186,Rest,
0.814,642.977733967034,Rest,
0.815,637.0319923200598,Rest,
0.817,627.6915326942841,Rest,
0.818,623.7584410617877,Rest,
0.82,625.6500519096913,Rest,
0.821,629.3323629298643,Rest,
0.823,634.7636258320363,Rest,
0.824,640.9604520750585,Rest,
0.826,645.5587691734754,Rest,
0.827,652.5787583087395,Rest,
0.828,655.885217295315,Rest,
0.83,655.4849780184004,Rest,
0.831,652.7088061223991,Rest,
0.833,646.6492756187052,Rest,
0.834,637.7490237652091,Rest,
0.836,630.022197368407,Rest,
0.837,622.5841060381063,Rest,
0.839,620.0676995596527,Rest,
0.84,621.210082913647,Rest,
0.842,625.5355382604049,Rest,
0.843,630.4513824524144,Rest,
0.845,638.008250356704,Rest,
0.846,646.9518288316523,Rest,
0.847,652.455796892142,Rest,
0.849,653.1457797462677,Rest,
0.85,651.0919059624559,Rest,
0.852,647.0312907733072,Rest,
0.853,640.8227319506087,Rest,
0.855,632.050298696792,Rest,
0.856,621.4529486242471,Rest,
0.858,615.105277312431,Rest,
0.859,617.0758994908213,Rest,
0.861,619.8291498218954,Rest,
0.862,625.8604318929233,Rest,
0.863,632.7959296460068,Rest,
0.865,637.9262283952509,Rest,
0.866,640.8738334028523,Rest,
0.868,643.2827244141965,Rest,
0.869,643.2362673564276,Rest,
0.871,645.4073900470006,Rest,
0.872,642.6577529499236,Rest,
0.874,633.5308830178836,Rest,
0.876,626.6302498138249,Rest,
0.877,621.0709638680177,Rest,
0.879,622.7250084549198,Rest,
0.88,622.2720780696962,Rest,
0.882,625.0884753571123,Rest,
0.884,634.336711089219,Rest,
0.885,643.2056752688497,Rest,
0.887,648.9573745676726,Rest,
0.888,652.875751599759,Rest,
0.89,655.7154948372239,Rest,
0.892,651.5644987302421,Rest,
0.893,641.8790926789155,Rest,
0.895,627.3241111426486,Rest,
