Timestamp,Channel1,Action1,Action2
0.0,647.71710666622,Rest,
0.282,640.6910736192552,Rest,
0.284,640.1664495666563,Rest,
0.285,641.8993070005545,Rest,
0.287,644.2258750469535,Rest,
0.288,638.9973496195495,Rest,
0.29,634.0922539344136,Rest,
0.291,631.3166542430704,Rest,
0.293,628.2518599333596,Rest,
0.294,628.99300742066,Rest,
0.296,631.8842156987447,Rest,
0.297,638.3557657427508,Rest,
0.299,642.5194421433738,Rest,
0.3,636.5870000823736,Rest,
0.301,636.914026965383,Rest,
0.303,642.1919944515222,Rest,
0.304,643.0000916719546,Rest,
0.306,640.1762968511936,Rest,
0.307,638.7553153938431,Rest,
0.309,637.4728682604871,Rest,
0.31,633.9878534064118,Rest,
0.312,634.0198599123788,Rest,
0.313,636.188529871527,Rest,
0.315,637.7726677385173,Rest,
0.316,638.8220422055772,Rest,
0.317,639.2559432096414,Rest,
0.319,640.4420948555583,Rest,
0.32,636.3972778793905,Rest,
0.322,634.4152932662122,Rest,
0.323,630.6127852931959,Rest,
0.325,626.6282071624049,Rest,
0.326,623.6926661363442,Rest,
0.328,620.7897068011412,Rest,
0.329,618.0613747908324,Rest,
0.331,624.1375838682155,Rest,
0.332,631.333073536524,Rest,
0.334,635.857696039402,Rest,
0.335,638.6264704020584,Rest,
0.336,644.3053304320968,Rest,
0.338,650.002757311196,Rest,
0.339,651.3956375593707,Rest,
0.341,646.8137928025476,Rest,
0.342,643.4254709989394,Rest,
0.344,641.59206707383,Rest,
0.345,641.1307652152497,Rest,
0.347,641.4362509770692,Rest,
0.348,640.4940647475796,Rest,
0.35,639.8032396797228,Rest,
0.351,640.2781206700946,Rest,
0.352,646.0339422266414,Rest,
0.354,649.2986731885283,Rest,
0.355,644.7764855356795,Rest,
0.357,635.6898970234271,Rest,
0.358,627.9448584252427,Rest,
0.36,627.168698569381,Rest,
0.361,627.0408674527249,Rest,
0.363,624.6889340506714,Rest,
0.364,622.0401712703909,Rest,
0.366,618.5985915182342,Rest,
0.367,621.7722704139078,Rest,
0.369,627.5468084271918,Rest,
0.37,630.1320153632182,Rest,
0.371,628.8635896281706,Rest,
0.373,631.1426950863237,Rest,
0.374,635.568248101264,Rest,
0.376,637.6292053019054,Rest,
0.377,641.1020530583921,Rest,
0.379,651.0899014580133,Rest,
0.38,654.0767978521344,Rest,
0.382,653.3557180590293,Rest,
0.383,650.5489856659157,Rest,
0.385,645.2617770745488,Rest,
0.386,639.8195576452681,Rest,
0.387,637.3399755167932,Rest,
0.389,637.9176429411939,Rest,
0.39,638.4984402058649,Rest,
0.392,636.2597610068036,Rest,
0.393,631.6560622043684,Rest,
0.395,624.8371541305964,Rest,
0.396,621.0614616944148,Rest,
0.398,620.875220999148,Rest,
0.399,625.730660048802,Rest,
0.401,631.9144614832951,Rest,
0.402,643.4501056015617,Rest,
0.403,647.9488638578491,Rest,
0.405,643.9114539517706,Rest,
0.406,640.8074314364709,Rest,
0.408,640.2692842804532,Rest,
0.409,639.607068253406,Rest,
0.411,642.1838029842141,Rest,
0.412,644.1110174788257,Rest,
0.414,644.5631014779927,Rest,
0.415,643.3595250081449,Rest,
0.417,640.7479746041267,Rest,
0.418,641.544121091857,Rest,
0.42,642.9310259736807,Rest,
0.421,643.4700868690118,Rest,
0.422,641.2732042399888,Rest,
0.424,638.181075832972,Rest,
0.425,635.1900065171726,Rest,
0.427,632.7087107549561,Rest,
0.428,629.2834692339264,Rest,
0.43,629.5780753586382,Rest,
0.431,634.5967304225838,Rest,
0.433,641.6609891248928,Rest,
