Timestamp,Channel1,Action1,Action2
0.0,631.864353044552,Rest,
0.275,636.9959380621837,Rest,
0.277,634.3478464302833,Rest,
0.278,636.1777491781413,Rest,
0.28,638.8853351933163,Rest,
0.281,641.8186601184201,Rest,
0.282,640.5328000226974,Rest,
0.284,638.2272300991094,Rest,
0.285,635.244033961777,Rest,
0.287,632.8780374381587,Rest,
0.288,630.7246083884964,Rest,
0.29,630.1962423558524,Rest,
0.291,630.8886660204728,Rest,
0.293,629.1715811695553,Rest,
0.294,625.8970112677825,Rest,
0.296,629.8445951753372,Rest,
0.297,632.6701477372823,Rest,
0.299,628.2739172308346,Rest,
0.3,621.8971952077383,Rest,
0.301,619.6301978385684,Rest,
0.303,623.8576661178668,Rest,
0.304,625.6525100055349,Rest,
0.306,626.3664241273909,Rest,
0.307,626.8919792046522,Rest,
0.309,629.5357238692908,Rest,
0.31,631.3730712381687,Rest,
0.312,629.6099566948362,Rest,
0.313,629.9584174106618,Rest,
0.315,631.7256577879974,Rest,
0.316,633.8903050291901,Rest,
0.318,636.4794452761943,Rest,
0.319,635.5199593925428,Rest,
0.32,630.935068241962,Rest,
0.322,632.4651619750455,Rest,
0.323,627.7842524986568,Rest,
0.325,624.0153788346504,Rest,
0.326,623.007804513908,Rest,
0.328,627.6499483168063,Rest,
0.329,631.7396636890965,Rest,
0.331,625.9154916900983,Rest,
0.332,619.1947393649506,Rest,
0.334,615.5791849588376,Rest,
0.335,616.1110974682686,Rest,
0.336,621.5381266520175,Rest,
0.338,630.1547593062829,Rest,
0.339,639.8128849044901,Rest,
0.341,643.3493373810455,Rest,
0.342,639.2383634136156,Rest,
0.344,635.7647330480496,Rest,
0.345,634.7300886786089,Rest,
0.347,635.7441575222203,Rest,
0.348,635.976694342696,Rest,
0.35,636.8830444673353,Rest,
0.351,637.0088341246645,Rest,
0.353,638.911055792696,Rest,
0.354,639.702582323859,Rest,
0.355,637.6491001426101,Rest,
0.357,636.208496237814,Rest,
0.358,636.4516784491155,Rest,
0.36,637.8078362712665,Rest,
0.361,638.48538559501,Rest,
0.363,637.4860718829717,Rest,
0.364,640.2061277873669,Rest,
0.366,640.1573771425935,Rest,
0.367,630.5707312310614,Rest,
0.369,621.5597899627435,Rest,
0.37,618.0856273276362,Rest,
0.371,618.3931634894805,Rest,
0.373,625.8096594583582,Rest,
0.374,629.4499766170951,Rest,
0.376,636.751741379707,Rest,
0.377,643.1459764416189,Rest,
0.379,643.4525011125208,Rest,
0.38,643.6484096823227,Rest,
0.382,643.2171664496859,Rest,
0.383,641.8554808921195,Rest,
