Timestamp,Channel1,Action1,Action2
0.0,634.6718400325584,Rest,
0.276,640.0775247904688,Rest,
0.277,637.1619358255787,Rest,
0.279,638.3530471745786,Rest,
0.28,635.8094824325422,Rest,
0.282,634.6928977600214,Rest,
0.283,627.5067994006633,Rest,
0.284,624.8915397991585,Rest,
0.286,627.3685481987653,Rest,
0.287,634.3780451271588,Rest,
0.289,640.9646249967367,Rest,
0.29,642.9544172232648,Rest,
0.292,645.6480313119926,Rest,
0.293,643.6788342808287,Rest,
0.295,641.6948862904175,Rest,
0.296,643.230811742641,Rest,
0.298,641.3827033499126,Rest,
0.299,640.4540747945398,Rest,
0.301,631.6907610524607,Rest,
0.302,622.0495685398064,Rest,
0.303,616.4888288365398,Rest,
0.305,617.5000014901163,Rest,
0.306,616.233421115091,Rest,
0.308,625.4317963638063,Rest,
0.309,635.0375670239409,Rest,
0.311,640.2100396406698,Rest,
0.312,643.752461523111,Rest,
0.314,645.0418621351555,Rest,
0.315,649.340023319724,Rest,
0.317,650.1143872874245,Rest,
0.318,651.0586179564735,Rest,
0.319,646.1637629465774,Rest,
0.321,637.035927419177,Rest,
0.322,621.3020314338245,Rest,
0.324,614.531544391101,Rest,
0.325,620.2372044607645,Rest,
0.327,626.3566513486685,Rest,
0.328,631.6249503642262,Rest,
0.33,647.3849722605911,Rest,
0.331,654.06489718734,Rest,
0.333,656.4737285940323,Rest,
0.334,658.711373056337,Rest,
0.336,659.3493949591392,Rest,
0.337,652.7313408531356,Rest,
0.339,641.4435871176228,Rest,
0.34,635.8224619415357,Rest,
0.341,636.9818874575958,Rest,
0.343,635.8244938641183,Rest,
0.344,635.1717877592788,Rest,
0.346,632.3685917101611,Rest,
0.347,635.2613300396597,Rest,
0.349,637.8361609978867,Rest,
0.35,641.9432749680608,Rest,
0.352,646.2391169356247,Rest,
0.353,648.79335567872,Rest,
0.355,647.6474347886366,Rest,
0.356,642.65822442272,Rest,
0.357,644.8701852405292,Rest,
0.359,645.597165298124,Rest,
0.36,643.4677116236343,Rest,
0.362,645.4089051972514,Rest,
0.363,646.2809677458963,Rest,
0.365,644.435398511338,Rest,
0.366,638.3965055223114,Rest,
0.368,635.0186061881311,Rest,
0.369,633.2372436806254,Rest,
0.371,634.0534793202256,Rest,
0.372,634.2261849911433,Rest,
0.374,636.4628418043663,Rest,
0.375,647.8624156549472,Rest,
0.376,648.8094018470528,Rest,
0.378,647.2638031558756,Rest,
0.379,645.7060391552495,Rest,
0.381,642.1175857922537,Rest,
0.382,636.2000234365491,Rest,
0.384,635.878753766865,Rest,
0.385,634.6161031265382,Rest,
0.387,632.6956245536356,Rest,
0.388,632.5342366140171,Rest,
0.39,633.2910958875532,Rest,
0.391,630.8146573084184,Rest,
0.393,631.2380720660773,Rest,
0.394,632.7736094920169,Rest,
0.395,637.9441419773271,Rest,
0.397,641.418716480579,Rest,
0.398,641.9792726015178,Rest,
0.4,638.1271193179034,Rest,
0.401,627.9796955561275,Rest,
0.403,618.8545780008528,Rest,
0.404,606.4868666514,Rest,
0.406,598.850656014759,Rest,
0.407,607.4733862249119,Rest,
0.409,619.6414708663787,Rest,
0.41,615.9249884992824,Rest,
0.412,624.1315065779098,Rest,
0.413,638.9233409074951,Rest,
0.414,639.7990631817654,Rest,
0.416,638.0327174702546,Rest,
0.417,641.6368552013463,Rest,
0.419,641.2931497446477,Rest,
0.42,639.5806019998314,Rest,
0.422,632.574466773804,Rest,
0.423,627.1730002371073,Rest,
0.425,626.3430865219934,Rest,
0.426,629.2843138318436,Rest,
0.428,629.8197281145725,Rest,
0.429,637.1817072846541,Rest,
0.431,652.1540310566462,Rest,
0.432,651.2554509944262,Rest,
0.433,637.2513159813066,Rest,
0.435,626.2809719182219,Rest,
0.436,619.7244769006344,Rest,
0.438,621.5739305703557,Rest,
0.439,636.4974732992022,Rest,
0.441,647.0808585978577,Rest,
0.442,647.7242246537477,Rest,
0.444,645.1343935888283,Rest,
0.445,644.6453815275886,Rest,
0.447,646.2102438462072,Rest,
0.448,643.4194592737507,Rest,
0.449,635.6968564625807,Rest,
0.451,632.9116157187957,Rest,
0.452,636.6019280674371,Rest,
0.454,642.0275344881456,Rest,
0.455,648.7381623671248,Rest,
0.457,649.0476988610862,Rest,
0.458,644.0177522918883,Rest,
0.46,638.1391737626998,Rest,
0.461,635.1764506311954,Rest,
0.463,632.86212240006,Rest,
0.464,627.972674128136,Rest,
0.466,626.1206932211749,Rest,
0.467,630.476025399688,Rest,
0.469,633.7240503697456,Rest,
0.47,633.9718638624983,Rest,
0.471,633.7896798598384,Rest,
0.473,634.1685389481233,Rest,
0.474,630.2861488206564,Rest,
0.476,635.4146814840652,Rest,
0.477,648.7147919791689,Rest,
0.479,648.4913818229892,Rest,
0.48,644.7410660673459,Rest,
0.482,641.1405087876926,Rest,
0.483,640.7727969614025,Rest,
0.485,639.8005372048065,Rest,
0.486,638.507347525042,Rest,
0.487,638.5711304630197,Rest,
0.489,638.6292390381383,Rest,
0.49,638.3148042338853,Rest,
0.492,638.4737632839398,Rest,
0.493,637.8684661231597,Rest,
0.495,637.7776792976474,Rest,
0.496,636.5545459454711,Rest,
0.498,636.2625707700932,Rest,
0.499,636.4269031795147,Rest,
0.501,633.4123538032,Rest,
0.502,630.2274251255304,Rest,
0.504,628.2245908051242,Rest,
0.505,628.3755801171756,Rest,
0.506,629.0604554486818,Rest,
0.508,627.0020540955131,Rest,
0.509,623.1325802961088,Rest,
0.511,620.7766885491238,Rest,
0.512,621.5631874279007,Rest,
0.514,629.5228284028564,Rest,
0.515,640.0681006989599,Rest,
0.517,644.1240089087497,Rest,
