Timestamp,Channel1,Channel2,Channel3,Action1,Action2
0.0,690.1905828941564,583.3250168949386,930.2222913768638,Rest,
0.277,680.9361691398822,565.0988400100279,987.8939089648615,Rest,
0.28,682.8032979730723,576.6621931388609,926.0350323957243,Rest,
0.283,677.3350503844083,632.4266287596976,686.8654104310764,Rest,
0.286,671.2029881719337,717.1407082248578,376.5802051520592,Rest,
0.289,668.3783791516279,717.587045739537,351.0398258018286,Rest,
0.292,669.5775997135162,651.699816787221,604.4667094310175,Rest,
0.295,676.4993591903876,602.4025025847558,886.783875439629,Rest,
0.298,685.8394480752287,579.2330997268081,1021.5622897818434,Rest,
0.301,687.2247424393586,620.1044434433512,870.4087800274825,Rest,
0.304,681.3813348271054,687.6585087369094,554.7628402427245,Rest,
0.307,675.183076880345,745.916562189646,333.25200656080324,Rest,
0.31,671.1211247588545,700.5957592243861,431.94572173902054,Rest,
0.313,674.4584690878951,621.8316110171808,734.2650263625414,Rest,
0.316,679.7092359911485,563.3336267869028,982.6823166230103,Rest,
0.319,683.8649003344656,565.8951748484582,980.5631811098076,Rest,
0.322,682.899262058647,624.947456115181,785.5157650131899,Rest,
0.325,677.3776921484103,715.3702336991112,434.76574656555016,Rest,
0.328,672.4131151930231,742.8065190084599,331.8056508071006,Rest,
0.331,672.3801395154165,673.9468239482431,550.6274879726753,Rest,
0.334,675.5790121053471,608.6968181963942,833.5662363250538,Rest,
0.337,678.6902479756174,559.350624007061,1019.8205524469081,Rest,
0.341,682.4604865861519,581.4866639955835,924.3860941393488,Rest,
0.344,679.5377945348971,647.066572554895,647.8565326758066,Rest,
0.347,674.6045171743056,733.9679979047772,349.17519797983147,Rest,
0.35,670.5401814627863,722.1661021907452,399.59205026531816,Rest,
0.353,670.2947044723874,650.3856498462736,665.1696205341364,Rest,
0.356,673.622290327822,586.609752966136,926.8195702814544,Rest,
0.359,679.3280558977194,564.3143289463912,1008.9552591985773,Rest,
0.362,679.1550986951708,603.767687531434,826.1339326064507,Rest,
0.365,672.856514794411,683.7725834575394,500.0008243323355,Rest,
0.368,668.9284639273243,747.4325117388381,312.6347962182517,Rest,
0.371,671.4564992733597,709.3948554271287,478.02747702926126,Rest,
0.374,674.7601234626917,636.6939272515687,770.3820270755323,Rest,
0.377,679.8386174248001,574.5153384823011,999.0167187472247,Rest,
0.38,681.0503996670723,585.4679334721486,957.6741931050054,Rest,
0.383,677.2253933221571,641.8970545407599,725.3634530739132,Rest,
0.386,670.1567673870048,722.3560181088469,396.7760916681399,Rest,
0.389,663.9268373163744,722.9804131961362,337.61410505939784,Rest,
0.392,663.1533286754285,650.1025617244914,564.9116474284706,Rest,
0.395,666.664434869818,588.4406868744716,849.6910577644179,Rest,
0.398,674.6687060199625,553.3235512165488,1006.4120586409639,Rest,
0.401,677.8563902206886,598.305066025861,887.8961554641909,Rest,
0.404,669.3099187981985,669.2286573921034,591.2172014972211,Rest,
0.407,664.286037598376,748.6409352589768,326.7587133358375,Rest,
0.41,662.529419366052,723.0689410053421,398.83455322200695,Rest,
0.413,664.5240264563593,652.9366758986325,684.9715709652389,Rest,
0.416,669.4521068873532,590.198891186582,946.4988865254982,Rest,
0.419,673.2999942660325,576.9607135010616,981.0592241357832,Rest,
0.422,671.7685236654905,621.3986911056866,782.6586213897016,Rest,
0.425,663.7239001660228,701.1070276626382,447.5346544426268,Rest,
0.428,657.3430821112493,742.1719839777927,296.791702722514,Rest,
0.431,657.9820564963885,682.1331467787203,499.2131709114517,Rest,
0.434,662.2522589268993,609.8305851019127,785.5540097420227,Rest,
0.437,666.5488346277278,552.4469694431983,983.818408109952,Rest,
0.44,669.1698872053489,568.1119809284188,919.8567825385073,Rest,
0.443,665.5540520613256,628.0505368769809,670.6362683339439,Rest,
0.446,661.2043072228798,719.6461039359693,352.97005688787186,Rest,
0.449,655.5698604070974,718.3361647529798,351.4245327025095,Rest,
0.452,655.202551508254,653.0393919991723,604.1666673620542,Rest,
0.455,661.5562822289803,598.5447703057254,892.9835007171035,Rest,
0.458,666.8942233197955,576.7351253909022,1000.7972014900686,Rest,
0.461,667.6767882915483,618.1572053619868,846.7516388597057,Rest,
0.464,661.4522512498202,688.8323877850041,531.4497532188598,Rest,
0.467,655.862115724339,744.369957371945,311.36483923969735,Rest,
0.47,652.4278053555256,696.227667478045,435.5952364915891,Rest,
0.473,656.3454212362076,624.4064509161057,723.7616007043839,Rest,
0.476,661.4139534728472,565.3704876149282,969.0402512598338,Rest,
0.479,667.109561217971,566.9710775579307,958.0223528173391,Rest,
0.482,665.098069321879,618.300802505112,734.4258170635483,Rest,
0.485,660.3585124443189,710.308240092783,399.8380666778167,Rest,
0.489,654.5379709646667,739.6001868963465,303.3340779941175,Rest,
0.492,654.3891441093855,670.9060526974264,537.7147677796802,Rest,
0.495,658.77443597012,595.4271954807276,829.9506527126614,Rest,
0.498,663.8027505639494,549.0466390903758,1011.6761841387968,Rest,
0.501,667.0476397332716,584.400773573014,901.2680466494616,Rest,
0.504,663.9333521048251,656.3715537037317,619.5998417854121,Rest,
0.507,657.738116113915,737.0422127297178,331.0191221259978,Rest,
0.51,653.6147622602895,715.0779217574503,390.11421085765494,Rest,
0.513,654.2692046486384,634.7313683904848,651.081130633489,Rest,
0.516,657.5081422934702,559.4214259888441,918.1088785062883,Rest,
0.519,660.9703994954109,537.2266748221725,980.3670007427932,Rest,
0.522,661.3603855801089,591.3127787486051,812.3834362487121,Rest,
0.525,656.1592931937329,687.5100347411674,474.2718940105312,Rest,
0.528,653.2153789061759,743.2640794830417,300.8103717339482,Rest,
0.531,652.5590607594324,688.6674080690632,481.56331557790224,Rest,
0.534,655.8041472201522,612.8663084347615,760.832184056304,Rest,
0.537,662.066796668386,558.2534185950063,987.0899161207576,Rest,
0.54,663.3376483127652,574.2726426449589,928.1989685534202,Rest,
0.543,659.8018097641241,632.7257153660912,683.0271176132104,Rest,
0.546,654.4419675400219,721.6811086751352,359.2346065324076,Rest,
